id_pelanggan,nomor_hp,nama_pelanggan,jenis_layanan,jenis_kartu,tanggal_registrasi,status_aktif
1,083126610857,Umar Maulana,Prabayar,Halo,2023-04-05,1
2,082290810818,Ayu Susanto,Pascabayar,simPATI,2024-05-20,FALSE
3,085245977945,Andi Kusuma,,Halo,2023-01-19,false
4,082299564122,Fira Purnomo,Prabayar,Kartu As,2022-01-29,FALSE
5,085360122777,Wawan Rahayu,,Halo,2022-02-10,true
6,085367899730,Luki Wijaya,Pascabayar,Loop,2024-12-17,false
7,082183959724,Putri Handoko,Pascabayar,Kartu As,2024-03-10,FALSE
8,085316743380,Dodi Firmansyah,Prabayar,simPATI,2022-02-07,1
9,085142891077,Putri Wijaya,Prabayar,simPATI,2022-08-16,1
10,085171255213,Luki Handoko!!,Prabayar,Halo,2024-06-18,true
11,085266785072,Hendra Rahayu,Pascabayar,simPATI,2022-01-21,FALSE
12,082266845504,Dewi Saputra,Pascabayar,Halo,2024-12-16,true
13,085143188485,Bagas Saputra,Prabayar,Loop,24/11/2022,0
14,082339989354,Budi Handoko,Pascabayar,Loop,2023-08-06,0
15,081210627371,Umar Susanto,Pascabayar,Halo,2024-01-27,0
16,081377288137,Citra Saputra,Prabayar,simPATI,2024-08-27,TRUE
17,082270229604,Qori Nugroho,Pascabayar,Halo,2023-08-04,0
18,081387772519,Fira Rahayu,Pascabayar,Kartu As,2024-04-18,false
19,,Nur Andriani,Prabayar,Halo,2024-09-01,true
20,085226085641,Sari Surya,Prabayar,Kartu As,2022-08-23,false
21,082326546103,Rini Pratama,Pascabayar,Loop,2023-05-06,0
22,085191382496,Sari Lestari,Pascabayar,Kartu As,2024-07-02,0
23,082220074946,Wawan Firmansyah,Prabayar,Loop,2023-12-21,false
24,082198554743,Kartika Susanto,,HALO,2023-10-21,false
25,081218071569,Sandi Andriani,Prabayar,HALO,2024-01-04,false
26,082233750479!!,Fitri Firmansyah,Prabayar,Kartu As,2023-03-05,1
27,082230894870,Hendra Saputra,Pascabayar,simPATI,2024-05-24,TRUE
28,082268750635,Hendra Wijaya,Pascabayar,Kartu As,2022-06-17,TRUE
29,083154317350,Umar Santoso,Pascabayar,simPATI,"Nov 15, 2023",false
30,085304961108,Bagas Wijaya,Prabayar,simPATI,2022-04-17,true
31,085385931109,Okta Santoso,Pascabayar,Halo,20220519,1
32,,Zaki Maulana,Prabayar,simPATI,2023-08-20,FALSE
33,085379599594,Okta Setiawan,,Kartu As,2024-05-07,0
34,082162050150,Okta Wibowo,Pascabayar,Kartu As,2022-08-24,FALSE
35,081330241026,Cindy Putra,Pascabayar,Halo,2022-08-16,FALSE
36,085255963099,Fajar Andriani,Pascabayar,Halo,2023-01-23,false
37,085285787255,Dodi Saputra,Pascabayar,simPATI,2024-12-12,FALSE
38,085292548121,Maya Susanto,Pascabayar,Halo,2023-08-28,TRUE
39,081251488814,  Hendra Lestari  ,Pascabayar,Loop,2023-04-12,false
40,082245669078,Joko Santoso,Prabayar,Halo,2022-11-02,1
41,,Umar Susanto,Pascabayar,Halo,2023-09-18,true
42,081359999663,Andi Rahayu,Pascabayar,Kartu As,N/A,TRUE
43,082233481705,Rizky Wibowo,Prabayar,simPATI,2024-11-27,FALSE
44,083194938743,Xena Hidayat,Prabayar,Halo,2022-01-16,1
45,082269263296,Wawan Maulana,Prabayar,Loop,2024-07-26,TRUE
46,085281511856,Gita Purnomo,Pascabayar,,2024-07-12,FALSE
47,,Wawan Purnomo,Pascabayar,simPATI,2022-11-27,FALSE
48,085308164709,Bambang Setiawan,,simPATI,2022-01-10,false
49,081306815583,Ahmad Hidayat,Prabayar,,2023-03-01,FALSE
50,082301364971,Kartika Firmansyah,Pascabayar,Kartu As,2022-12-18,1
51,082309976838,Xena Kusuma,Pascabayar,simPATI,2022-01-28,0
52,083175245086,Andi Putra,Prabayar,Kartu As,2023-08-14,0
53,081117130232,Eka Handoko,Prabayar,Kartu As,2022-07-07,FALSE
54,082147156627,Dian Handoko,Pascabayar!!,simPATI,2024-06-22,FALSE
55,085274746897,Eka Lestari,Prabayar,Halo,2022-05-28,0
56,085201692364,Edi Kusuma,Pascabayar,Kartu As,2023-12-15,false
57,083172439920,Citra Lestari,Prabayar,Halo,2022-08-28,true
58,,Rini Wahyudi,Prabayar,Halo,2024-03-26,1
59,085328179323,Bagas Setiawan,Pascabayar,simPATI,2022-05-01,0
60,081193771004,Rizky Surya,Prabayar,Loop,2022-01-15,0
61,082156690551,Okta Surya,PRABAYAR,Loop,2022-01-07,0
62,085230505057,Xena Saputra,Pascabayar,Halo,2023-04-24,false
63,081389802714,Fira Setiawan,Prabayar,simPATI,"Aug 14, 2024",0
64,085312871539,Hendra Lestari,Pascabayar,Halo,2022-05-13,TRUE
65,082119525690,Okta Wahyudi,Pascabayar,Kartu As,2023-09-29,
66,081343772942,Wawan Surya,Pascabayar,Loop,2022-03-12,1
67,081127642086,Gita Putra,Prabayar,Kartu As,2023-11-23,1
68,082272927742,,Prabayar,Kartu As,2023-03-06,FALSE
69,085320185962,Ahmad Maulana,Prabayar,simPATI,2024-04-07,1
70,081111117830,Vina Maulana,Pascabayar,Loop,2024-09-09,true
71,085188718981,Sari Wibowo,Prabayar!!,simPATI,2023-03-01,TRUE
72,081284582603,Andi Kusuma,Pascabayar,Loop,2023-09-08,true
73,082103243298,Ahmad Wijaya,Pascabayar,Kartu As,2023-03-19,0
74,082114359892,Citra Andriani,Prabayar,simPATI,2024-05-09,TRUE
75,081334016361,Okta Lestari,Pascabayar,Loop,2022-09-10,FALSE
76,082388967924,Rini Hidayat,Pascabayar,Loop,2022-01-20,false
77,085384468341,Vina Maulana,Prabayar,simPATI,2023-09-18,TRUE
78,081377881609,Umar Saputra,Pascabayar,simPATI,2023-01-25,true
79,082328506762,Eka Kusuma,Prabayar,Loop,2024-02-04,FALSE
80,,Zaki Wijaya,Pascabayar!!,simPATI,2023-09-04,
81,085365456284,Joko Putra,  Pascabayar  ,Loop,2022-08-11,TRUE
82,082216787256,Fajar Purnomo,Prabayar,Loop,2024-10-24,false
83,081167447163,Umar Firmansyah,Pascabayar,Halo,2022-11-09,false
84,082192312604,Galih Hidayat,Prabayar,Kartu As,2023-01-29,0
85,082254563502,Maya Pratama,Prabayar,Halo,2022-03-25,TRUE
86,082359895343,Bagas Surya,Prabayar,Kartu As,2024-02-26,true
87,082182023684,Maya Purnomo,Prabayar,simPATI,2023-12-13,1
88,082167881278,Dian Wijaya,Prabayar,simPATI,2024-02-26,false
89,082144812308,Joko Nugroho,Prabayar,Kartu As,2023-05-03,false
90,,Fira Maulana,Pascabayar,simPATI,2022-04-28,1
91,082173543962,Fira Andriani,Prabayar,Kartu As,2024-07-02,false
92,081369312163,Maya Hidayat,Prabayar,,2024-07-20,TRUE
93,081390018513,Fitri Lestari,Pascabayar,Loop,2022-10-13,TRUE
94,085220303662,Ahmad Saputra,Prabayar,Kartu As,2023-12-25,true
95,081192268592,Qori Kusuma,Pascabayar,Halo,2024-05-20,false
96,081352677119,Budi Rahayu,Prabayar,Halo,2024-05-25,false
97,085287887883,Ika Wibowo,Prabayar,simPATI,2024-02-27,0
98,082352472863,Nur Wijaya,Prabayar,Halo,2023-03-08,TRUE
99,081125213109,Fira Hidayat,Pascabayar,Halo,2024-05-02,FALSE
100,081382066784,Andi Firmansyah,Prabayar,Kartu As,N/A,FALSE
101,081277566205,Cindy Firmansyah,Pascabayar,simPATI,2024-05-18,1
102,082141990970,Fajar_Wijaya,Pascabayar,Halo,2022-04-09,TRUE
103,085120967904,Zaki Pratama,Prabayar,Kartu As,2022-11-27,true
104,082372545960,Fira Saputra,,Loop,2024-03-04,TRUE
105,081342149551,Wawan Surya,Pascabayar,Kartu As,2022-05-26,1
